"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss","Close","price2"
"AAPL",2010-01-04,213.43,214.5,212.38,214.01,4,856.04,NA,NA,NA,NA,NA,1,857.52
"AMZN",2010-01-04,136.25,136.61,133.14,133.9,12,1606.8,NA,NA,NA,NA,NA,1,1616.28
"GOOGL",2010-01-04,626.95,629.51,624.24,626.75,1,626.75,NA,NA,NA,NA,NA,1,623.99
"NFLX",2010-01-04,55.52,55.73,52.96,53.48,2,106.96,NA,NA,NA,NA,NA,1,103.02
"AAPL",2010-01-05,214.6,215.59,213.25,214.38,4,857.52,NA,NA,NA,NA,NA,1.00172889117331,843.88
"AMZN",2010-01-05,133.43,135.479,131.81,134.69,12,1616.28,NA,NA,NA,NA,NA,1.0058999253174,1587
"GOOGL",2010-01-05,627.18,627.84,621.54,623.99,1,623.99,NA,NA,NA,NA,NA,0.995596330275229,608.26
"NFLX",2010-01-05,53.57,53.6,50.81,51.51,2,103.02,NA,NA,NA,NA,NA,0.963163799551234,106.64
"AAPL",2010-01-06,214.38,215.23,210.75,210.97,4,843.88,NA,NA,NA,NA,NA,0.98579505630578,842.32
"AMZN",2010-01-06,134.6,134.73,131.65,132.25,12,1587,NA,NA,NA,NA,NA,0.987677371172517,1560
"GOOGL",2010-01-06,625.86,625.86,606.36,608.26,1,608.26,NA,NA,NA,NA,NA,0.970498603909055,594.1
"NFLX",2010-01-06,51.53,53.71,50.38,53.32,2,106.64,NA,NA,NA,NA,NA,0.99700822737472,104.8
"AAPL",2010-01-07,211.75,212,209.05,210.58,4,842.32,NA,NA,NA,NA,NA,0.983972711555535,847.92
"AMZN",2010-01-07,132.01,132.32,128.8,130,12,1560,NA,NA,NA,NA,NA,0.970873786407767,1602.24
"GOOGL",2010-01-07,609.4,610,592.65,594.1,1,594.1,NA,NA,NA,NA,NA,0.94790586358197,602.02
"NFLX",2010-01-07,54.12,54.3,52.2406,52.4,2,104.8,NA,NA,NA,NA,NA,0.979805534779357,106.6
"AAPL",2010-01-08,210.3,212,209.06,211.98,4,847.92,NA,NA,NA,NA,NA,0.990514461941031,840.44
"AMZN",2010-01-08,130.56,133.68,129.03,133.52,12,1602.24,NA,NA,NA,NA,NA,0.997162061239731,1563.696
"GOOGL",2010-01-08,592,603.25,589.11,602.02,1,602.02,NA,NA,NA,NA,NA,0.960542481053051,601.11
"NFLX",2010-01-08,52.49,54.2,52.26,53.3,2,106.6,NA,NA,NA,NA,NA,0.99663425579656,106.46
"AAPL",2010-01-11,212.8,213,208.45,210.11,4,840.44,NA,NA,NA,NA,NA,0.981776552497547,830.88
"AMZN",2010-01-11,132.62,132.8,129.21,130.308,12,1563.696,NA,NA,NA,NA,NA,0.973174010455564,1528.2
"GOOGL",2010-01-11,604.46,604.46,594.04,601.11,1,601.11,NA,NA,NA,NA,NA,0.959090546469884,590.48
"NFLX",2010-01-11,53.62,53.93,52.7,53.23,2,106.46,NA,NA,NA,NA,NA,0.995325355272999,104.74
"AAPL",2010-01-12,209.19,209.77,206.42,207.72,4,830.88,NA,NA,NA,NA,NA,0.970608850053736,842.6
"AMZN",2010-01-12,128.99,129.82,126.55,127.35,12,1528.2,NA,NA,NA,NA,NA,0.951082897684839,1549.32
"GOOGL",2010-01-12,598.08,598.16,588,590.48,1,590.48,NA,NA,NA,NA,NA,0.942130035899482,587.09
"NFLX",2010-01-12,52.7,53.08,52.16,52.37,2,104.74,NA,NA,NA,NA,NA,0.979244577412117,107.92
"AAPL",2010-01-13,207.87,210.93,204.1,210.65,4,842.6,NA,NA,NA,NA,NA,0.98429979907481,837.72
"AMZN",2010-01-13,127.9021,129.71,125.75,129.11,12,1549.32,NA,NA,NA,NA,NA,0.964227035100822,1528.2
"GOOGL",2010-01-13,576.49,588.38,573.9,587.09,1,587.09,NA,NA,NA,NA,NA,0.936721180694057,589.85
"NFLX",2010-01-13,53.29,54.28,52.91,53.96,2,107.92,NA,NA,NA,NA,NA,1.00897531787584,101.98
"AAPL",2010-01-14,210.11,210.46,209.02,209.43,4,837.72,NA,NA,NA,NA,NA,0.978599130881735,823.72
"AMZN",2010-01-14,129.14,130.38,126.4,127.35,12,1528.2,NA,NA,NA,NA,NA,0.951082897684839,1525.68
"GOOGL",2010-01-14,583.9,594.2,582.81,589.85,1,589.85,NA,NA,NA,NA,NA,0.941124850418827,580
"NFLX",2010-01-14,52.63,53.03,50.89,50.99,2,101.98,NA,NA,NA,NA,NA,0.953440538519073,101.9
"AAPL",2010-01-15,210.93,211.6,205.87,205.93,4,823.72,NA,NA,NA,NA,NA,0.962244754917995,860.16
"AMZN",2010-01-15,129.18,129.65,127.06,127.14,12,1525.68,NA,NA,NA,NA,NA,0.949514563106796,1531.32
"GOOGL",2010-01-15,591.59,593.56,578.04,580,1,580,NA,NA,NA,NA,NA,0.925408855205425,587.62
"NFLX",2010-01-15,50.72,51.85,50.63,50.95,2,101.9,NA,NA,NA,NA,NA,0.952692595362753,102.4
"AAPL",2010-01-19,208.33,215.19,207.24,215.04,4,860.16,NA,NA,NA,NA,NA,1.00481285921219,846.9
"AMZN",2010-01-19,126.2,128,124.33,127.61,12,1531.32,NA,NA,NA,NA,NA,0.953024645257655,1509.36
"GOOGL",2010-01-19,581.49,590.42,576.29,587.62,1,587.62,NA,NA,NA,NA,NA,0.937566812923813,580.41
"NFLX",2010-01-19,50.75,51.68,50.7,51.2,2,102.4,NA,NA,NA,NA,NA,0.957367240089753,102.48
"AAPL",2010-01-20,214.91,215.55,209.5,211.725,4,846.9,NA,NA,NA,NA,NA,0.989322928835101,832.288
"AMZN",2010-01-20,127.13,129.2,125.08,125.78,12,1509.36,NA,NA,NA,NA,NA,0.939357729648992,1519.44
"GOOGL",2010-01-20,585.98,585.98,575.29,580.41,1,580.41,NA,NA,NA,NA,NA,0.926063023534104,582.98
"NFLX",2010-01-20,50.86,52.45,50.55,51.24,2,102.48,NA,NA,NA,NA,NA,0.958115183246073,102.38
"AAPL",2010-01-21,212.08,213.3138,207.21,208.072,4,832.288,NA,NA,NA,NA,NA,0.972253633007803,791
"AMZN",2010-01-21,127.26,128.15,125,126.62,12,1519.44,NA,NA,NA,NA,NA,0.945631067961165,1457.16
"GOOGL",2010-01-21,583.44,586.8185,572.251,582.98,1,582.98,NA,NA,NA,NA,NA,0.93016354208217,550.01
"NFLX",2010-01-21,50.52,52.18,50.5,51.19,2,102.38,NA,NA,NA,NA,NA,0.957180254300673,101.78
"AAPL",2010-01-22,206.78,207.5,197.16,197.75,4,791,NA,NA,NA,NA,NA,0.924022241951311,812.3
"AMZN",2010-01-22,125.6,127.67,120.76,121.43,12,1457.16,NA,NA,NA,NA,NA,0.906870799103809,1443.72
"GOOGL",2010-01-22,564.5,570.6,534.86,550.01,1,550.01,NA,NA,NA,NA,NA,0.877558835261268,540
"NFLX",2010-01-22,51.08,52.39,50.5,50.89,2,101.78,NA,NA,NA,NA,NA,0.951570680628272,98.26
"AAPL",2010-01-25,202.51,204.7,200.19,203.075,4,812.3,"12/2009",NA,NA,"post",NA,0.948904256810429,823.76
"AMZN",2010-01-25,122.1,122.28,118.12,120.31,12,1443.72,NA,NA,NA,NA,NA,0.898506348020911,1433.76
"GOOGL",2010-01-25,546.59,549.8775,535.51,540,1,540,NA,NA,NA,NA,NA,0.86158755484643,542.42
"NFLX",2010-01-25,51.05,51.4986,48.52,49.13,2,98.26,NA,NA,NA,NA,NA,0.918661181750187,99.9
"AAPL",2010-01-26,205.95,213.71,202.58,205.94,4,823.76,NA,NA,NA,NA,NA,0.962291481706462,831.536
"AMZN",2010-01-26,120.56,122.98,119.061,119.48,12,1433.76,NA,NA,NA,NA,NA,0.892307692307692,1473
"GOOGL",2010-01-26,537.97,549.6,536.29,542.42,1,542.42,NA,NA,NA,NA,NA,0.865448743518149,542.1
