"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss"
"AMZN",1998-01-02,60,60,57.56,59.5,1,59.5,NA,NA,NA,NA,NA
"AMZN",1998-01-05,58.63,59.25,56.5,57,1,57,NA,NA,NA,NA,NA
"AMZN",1998-01-06,56.38,58.5,56,58.06,1,58.06,NA,NA,NA,NA,NA
"AMZN",1998-01-07,58,58,56.31,57.38,1,57.38,NA,NA,NA,NA,NA
"AMZN",1998-01-08,56.38,56.44,54.38,55.38,1,55.38,NA,NA,NA,NA,NA
"AMZN",1998-01-09,56,56,50.75,51.13,1,51.13,NA,NA,NA,NA,NA
"AMZN",1998-01-12,50,52.63,49.75,51.63,1,51.63,NA,NA,NA,NA,NA
"AMZN",1998-01-13,52.13,56,51.88,55.75,1,55.75,NA,NA,NA,NA,NA
"AMZN",1998-01-14,55.88,58.5,55.5,58.5,1,58.5,NA,NA,NA,NA,NA
"AMZN",1998-01-15,57.5,60.13,57.5,59.44,1,59.44,NA,NA,NA,NA,NA
"AMZN",1998-01-16,59.5,59.75,57.25,57.5,1,57.5,NA,NA,NA,NA,NA
"AMZN",1998-01-20,57.88,60.13,57.75,59.44,1,59.44,NA,NA,NA,NA,NA
"AMZN",1998-01-21,59.25,62,58.5,60.88,1,60.88,NA,NA,NA,NA,NA
"AMZN",1998-01-22,60.88,63.25,60.25,61.63,1,61.63,NA,NA,NA,NA,NA
"AMZN",1998-01-23,64.13,64.13,59.25,59.25,1,59.25,NA,NA,NA,NA,NA
"AMZN",1998-01-26,59.75,59.88,56.88,57.75,1,57.75,NA,NA,NA,NA,NA
"AMZN",1998-01-27,57.81,58.38,56,57,1,57,NA,NA,NA,NA,NA
"AMZN",1998-01-28,57,58,55.5,57.25,1,57.25,NA,NA,NA,NA,NA
"AMZN",1998-01-29,57.5,59.88,57.38,59.5,1,59.5,NA,NA,NA,NA,NA
"AMZN",1998-01-30,60,60.75,58.63,59,1,59,NA,NA,NA,NA,NA
"AMZN",1998-02-02,59.38,62.5,59.25,62.38,1,62.38,NA,NA,NA,NA,NA
"AMZN",1998-02-03,62.25,63,61.13,61.81,1,61.81,NA,NA,NA,NA,NA
"AMZN",1998-02-04,60.75,62.25,60.63,60.75,1,60.75,NA,NA,NA,NA,NA
"AMZN",1998-02-05,61.38,61.38,58.5,59.25,1,59.25,NA,NA,NA,NA,NA
"AMZN",1998-02-06,59.13,60.25,58.5,58.88,1,58.88,NA,NA,NA,NA,NA
"AMZN",1998-02-09,59,59.5,57.25,58.25,1,58.25,NA,NA,NA,NA,NA
"AMZN",1998-02-10,58.5,63.81,58,63.63,1,63.63,NA,NA,NA,NA,NA
"AMZN",1998-02-11,63.5,65.56,63.38,63.5,1,63.5,NA,NA,NA,NA,NA
"AMZN",1998-02-12,63.25,63.63,62.25,63.13,1,63.13,NA,NA,NA,NA,NA
"AMZN",1998-02-13,63,63.25,61.75,62.25,1,62.25,NA,NA,NA,NA,NA
"AMZN",1998-02-17,62.63,62.63,60.88,61.75,1,61.75,NA,NA,NA,NA,NA
"AMZN",1998-02-18,61.75,61.75,60.63,60.88,1,60.88,NA,NA,NA,NA,NA
"AMZN",1998-02-19,61.31,63.5,61,62.75,1,62.75,NA,NA,NA,NA,NA
"AMZN",1998-02-20,62.75,63.5,61.38,63.25,1,63.25,NA,NA,NA,NA,NA
"AMZN",1998-02-23,63.5,65,62.5,64.88,1,64.88,NA,NA,NA,NA,NA
"AMZN",1998-02-24,65,68.13,64.25,64.88,1,64.88,NA,NA,NA,NA,NA
"AMZN",1998-02-25,65.63,66.5,63.13,65.88,1,65.88,NA,NA,NA,NA,NA
"AMZN",1998-02-26,65.56,73,65.25,72.75,1,72.75,NA,NA,NA,NA,NA
"AMZN",1998-02-27,72.25,79.63,71.81,77,1,77,NA,NA,NA,NA,NA
"AMZN",1998-03-02,75.88,77.25,75,76.25,1,76.25,NA,NA,NA,NA,NA
"AMZN",1998-03-03,75.5,75.75,71.5,71.75,1,71.75,NA,NA,NA,NA,NA
"AMZN",1998-03-04,72,74.25,70,73.44,1,73.44,NA,NA,NA,NA,NA
"AMZN",1998-03-05,71.75,78.19,71.25,75,1,75,NA,NA,NA,NA,NA
"AMZN",1998-03-06,75.63,77,73.75,76.75,1,76.75,NA,NA,NA,NA,NA
"AMZN",1998-03-09,76.88,85.75,76.75,83.5,1,83.5,NA,NA,NA,NA,NA
"AMZN",1998-03-10,85.5,88.25,82.88,83.11,1,83.11,NA,NA,NA,NA,NA
"AMZN",1998-03-11,82,82.5,78.25,79.63,1,79.63,NA,NA,NA,NA,NA
"AMZN",1998-03-12,78.75,81.13,77.13,78.5,1,78.5,NA,NA,NA,NA,NA
"AMZN",1998-03-13,79.63,80.88,77.75,78.69,1,78.69,NA,NA,NA,NA,NA
"AMZN",1998-03-16,79.56,80.75,79,79,1,79,NA,NA,NA,NA,NA
"AMZN",1998-03-17,79.75,80.25,77.88,79.88,1,79.88,NA,NA,NA,NA,NA
"AMZN",1998-03-18,79.25,85.75,79.25,85.31,1,85.31,NA,NA,NA,NA,NA
"AMZN",1998-03-19,85.38,87.5,83.75,84,1,84,NA,NA,NA,NA,NA
"AMZN",1998-03-20,84,84.88,83.13,84,1,84,NA,NA,NA,NA,NA
"AMZN",1998-03-23,83.56,84.75,82.75,83.81,1,83.81,NA,NA,NA,NA,NA
